DateTime,name,value
2019-01-01T00:00:00.0,1951,15.4738450716
2019-01-01T01:00:00.0,1951,15.435660383200004
2019-01-01T02:00:00.0,1951,15.342730428333333
2019-01-01T03:00:00.0,1951,15.250637552
2019-01-01T04:00:00.0,1951,15.250637552
2019-01-01T05:00:00.0,1951,15.311065045333333
2019-01-01T06:00:00.0,1951,15.437779466666669
2019-01-01T07:00:00.0,1951,15.455332535799993
2019-01-01T08:00:00.0,1951,14.621634086666672
2019-01-01T09:00:00.0,1951,12.262014848266666
2019-01-01T10:00:00.0,1951,11.18494204499999
2019-01-01T11:00:00.0,1951,10.56162594506667
2019-01-01T12:00:00.0,1951,10.525919102400005
2019-01-01T13:00:00.0,1951,10.56162594506667
2019-01-01T14:00:00.0,1951,11.082694899600005
2019-01-01T15:00:00.0,1951,12.813434207199998
2019-01-01T16:00:00.0,1951,15.311065045333333
2019-01-01T17:00:00.0,1951,16.69633716206667
2019-01-01T18:00:00.0,1951,17.283673749599995
2019-01-01T19:00:00.0,1951,17.283673749599995
2019-01-01T20:00:00.0,1951,17.283673749599995
2019-01-01T21:00:00.0,1951,17.283673749599995
2019-01-01T22:00:00.0,1951,17.186881260000007
2019-01-01T23:00:00.0,1951,16.526279874999997
